_id,name,brand,category,uni_code,box_quantity,price,quantity,stock_item,__v,spent,barcodes[0],barcodes[1],suppliers[0],suppliers[1],suppliers[2],barcode[0],barcode[1],volume,volume_unity,tax
66a3f368af9e4dcbc173c946,Chave Boca Catraca Articulada  9,Belzer,Ferramenta,,,39,1,false,0,0,,,,,,,,,,
66a3f3ffaf9e4dcbc173cd28,Chave Boca Catraca Articulada 18,Belzer,Ferramenta,,,39,1,false,0,0,,,,,,,,,,
66a3f42baf9e4dcbc173cd36,Chave Boca Catraca Articulada 19,Belzer,Ferramenta,,,39,1,false,0,0,,,,,,,,,,
66a3f444af9e4dcbc173cd44,Chave Boca Catraca 22,Gedore,Ferramenta,,,39,1,false,0,0,,,,,,,,,,
66a3f45baf9e4dcbc173cd4c,Chave Boca Catraca 24,Gedore,Ferramenta,,,39,1,false,0,0,,,,,,,,,,
66a3fad9af9e4dcbc173e71a,Bisnaga Plastico,Nalgon,Outras,PE 1000ml,,15,0,false,0,0,,,66a12784affe4f371ee44ba0,,,,,,,
66a3fb52af9e4dcbc173e7bb,Bisnaga Plastica ,Nalgon,Outras,PE 500ml,,6.5,0,false,0,6,,,66a12784affe4f371ee44ba0,,,,,,,
66a77b71af9e4dcbc1744aff,Balde Plástico,Outras,Outras,5l,,4.29,0,false,0,2,,,666824e08c8e77b54bf64798,,,,,0,,
66a77b9eaf9e4dcbc1744eb1,Balde Plástico ,Vonder,Outras,12l,,44.88,0,false,0,1,,,666824e08c8e77b54bf64798,,,,,,,
66a77be0af9e4dcbc1744ebb,Suporte Reforçado ,Outras,Outras,30cm (par),,77.22,1,true,0,0,,,666824e08c8e77b54bf64798,,,,,,,
66a77cd0af9e4dcbc1745311,Luva Nitrilica,Descarpack ,Outras,,50,0.59,799,true,0,167,,,668d8148bde8fadf6747ee14,,,,,1,un,
66a8efd579ee6c83ca05d7a7,Disco Flap,Vila,Outras,"GR80 4/12"" x 7/8""",5,3.2,7,false,0,2,,,6667568212dbd4d908e415b2,,,,,,,
66a8f7cc79ee6c83ca05f324,Arame Galvanizado,Outras,Outras,"0,8mm 1kg",,28.5,1,true,0,0,,,6667568212dbd4d908e415b2,666824e08c8e77b54bf64798,,,,,,
66a8f7fc79ee6c83ca05f6e9,Arame Galvanizado ,Outras,Outras,"1,24mm 1kg",,30.4,1,true,0,0,,,6667568212dbd4d908e415b2,666824e08c8e77b54bf64798,,,,,,
66a8f83879ee6c83ca05f6f1,Fitilho Reciclado,Outras,Outras,F10,,16,2,true,0,0,,,666824e08c8e77b54bf64798,,,,,,,
66a92a5279ee6c83ca068ed5,Nivel de Mão ,Fertak,Ferramenta,"30cm 12""",,30.4,1,false,0,0,,,666824e08c8e77b54bf64798,,,,,,,
66abe06f79ee6c83ca0a961f,Chave de Impacto,PDR,Ferramenta,"1""455KGFM PRO-198 ",,2141.4,0,false,0,0,,,6667568212dbd4d908e415b2,,,,,,,
66b115b979ee6c83ca0e1879,Bico de Ar,Steels,Outras,1/4 20mm,,23.18,4,false,0,0,,,,,,,,,,
66b1168079ee6c83ca0e1952,Fita Filete PVC,Outras,Outras,3mm x 50m,,45,12,false,0,0,,,,,,,,,,
66b116a579ee6c83ca0e1d39,Fita Filete PVC ,Outras,Outras,6mm x 50m,,44,17,false,0,0,,,,,,,,,,
66b3c629d29869b042d5c331,Fita Led ,Outras,Outras,5M 12V,,26.57,0,false,0,0,,,666824e08c8e77b54bf64798,,,,,,,
66bb96afd2f65f69d1a42075,Lamina Plotter,Rolland,Outras,45º,,1.52,20,true,0,0,,,666824e08c8e77b54bf64798,,,,,,,
66bb9736d2f65f69d1a424be,Soquete Torx T-30,Gedore,Ferramenta,"1/2""",,34,2,false,0,0,,,,,,,,,,
