_id,name,brand,hex,type,formula[0].base,formula[1].base,formula[2].base,formula[3].base,formula[4].base,formula[5].base,formula[6].base,formula[7].base,formula[8].base,formula[9].base,formula[10].base,formula[11].base,formula[0].quantity,formula[1].quantity,formula[2].quantity,formula[3].quantity,formula[4].quantity,formula[5].quantity,formula[6].quantity,formula[7].quantity,formula[8].quantity,formula[9].quantity,formula[10].quantity,formula[11].quantity,__v,manufacturer,tags[0],tags[1],tags[2],brands[0],brands[1],brands[2],brands[3],manufacture
6679c1c04d69e5f065de0397,Marrom Granja Loureiro,Farben,#b35b2d,Laca,65e87b69cb7a1ff3d9a824e0,65e87b69cb7a1ff3d9a824d6,65e87b69cb7a1ff3d9a824ea,65e87b69cb7a1ff3d9a824d0,65e87b69cb7a1ff3d9a824de,,,,,,,,122.06,109.21,37.85,70.89,1,,,,,,,,0,,,,,6675b610c9ea4a6a98e57e10,,,,
667b06fa4d69e5f065e04f68,Branco ,Farben,#f2f2f5,Acrilico,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
667b142f4d69e5f065e0767f,Preto Fosco Sumaré,Farben,#000000,Acrilico,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
667b15974d69e5f065e079f7,Vermelho Morisco,Farben,#b71014,Acrilico,65ea0d7b88af5449465bf4e4,6620073ab18ad27a975a662b,65ea0e5788af5449465bf4f0,65ea0cbc88af5449465bf4d0,65ea0e3988af5449465bf4ec,,,,,,,,1.66,17.96,21.18,32,222,,,,,,,,0,,,,,6668b0952ba950172d815fc4,669688aabde8fadf6749054e,,,
667db0186441788f4d71b82c,Galinha Campeira  1,Farben,#f27386,Laca,65e87b69cb7a1ff3d9a824ea,65e87b69cb7a1ff3d9a824ce,,,,,,,,,,,190,10,,,,,,,,,,,0,,,,,65e87b9475f168374cbc08f1,,,,
667db2f96441788f4d71c50a,Galinha Campeira  2,Farben,#ed3240,Laca,65e87b69cb7a1ff3d9a824ea,65e87b69cb7a1ff3d9a824ce,65e87b69cb7a1ff3d9a824d0,65e87b69cb7a1ff3d9a824de,,,,,,,,,40,25.5,20.3,0.1,,,,,,,,,0,,,,,65e87b9475f168374cbc08f1,,,,
667db3af6441788f4d71cbd0,Galinha Campeira  3,Farben,#96080c,Laca,65e87b69cb7a1ff3d9a824ce,65e87b69cb7a1ff3d9a824e2,65e87b69cb7a1ff3d9a824de,65e87b69cb7a1ff3d9a824d6,,,,,,,,,130,229,4.8,91,,,,,,,,,0,,,,,65e87b9475f168374cbc08f1,,,,
667db92a6441788f4d71dda3,Galinha Campeira  4,Farben,#fbe978,Laca,65e87b69cb7a1ff3d9a824ea,65e87b69cb7a1ff3d9a824d2,65e87b69cb7a1ff3d9a824dc,65e87b69cb7a1ff3d9a824de,,,,,,,,,28,6.2,0.05,0.05,,,,,,,,,0,,,,,65e87b9475f168374cbc08f1,,,,
667dbfe56441788f4d71fd01,Galinha Campeira  5,Farben,#f8df4d,Laca,65e87b69cb7a1ff3d9a824d0,65e87b69cb7a1ff3d9a824ea,65e87b69cb7a1ff3d9a824d4,65e87b69cb7a1ff3d9a824de,,,,,,,,,14.8,29,0.5,0.2,,,,,,,,,0,,,,,65e87b9475f168374cbc08f1,,,,
667dc00a6441788f4d71fd1e,Galinha Campeira  6,Farben,#ebae3c,Laca,65e87b69cb7a1ff3d9a824ea,65e87b69cb7a1ff3d9a824d4,65e87b69cb7a1ff3d9a824d6,65e87b69cb7a1ff3d9a824de,65e87b69cb7a1ff3d9a824d0,,,,,,,,34.7,10.1,3.9,0.3,18,,,,,,,,0,,,,,65e87b9475f168374cbc08f1,,,,
667dc0396441788f4d72009a,Galinha Campeira  7,Farben,#b67643,Laca,65e87b69cb7a1ff3d9a824ea,65e87b69cb7a1ff3d9a824d4,65e87b69cb7a1ff3d9a824d6,65e87b69cb7a1ff3d9a824de,,,,,,,,,34,27,10.6,0.3,,,,,,,,,0,,,,,65e87b9475f168374cbc08f1,,,,
667dc06e6441788f4d7200d1,Galinha Campeira  8,Farben,#9c5f3b,Laca,65e87b69cb7a1ff3d9a824e0,65e87b69cb7a1ff3d9a824d4,65e87b69cb7a1ff3d9a824ea,65e87b69cb7a1ff3d9a824d0,65e87b69cb7a1ff3d9a824d6,,,,,,,,20,32,26.7,7,7,,,,,,,,0,,,,,65e87b9475f168374cbc08f1,,,,
667dc08c6441788f4d7200e8,Galinha Campeira  9,Farben,#783f30,Laca,65e87b69cb7a1ff3d9a824e0,65e87b69cb7a1ff3d9a824d0,65e87b69cb7a1ff3d9a824ea,65e87b69cb7a1ff3d9a824d6,,,,,,,,,18.2,13,20,28.3,,,,,,,,,0,,,,,65e87b9475f168374cbc08f1,,,,
667dc0a26441788f4d7200f9,Galinha Campeira 10,Farben,#49272c,Laca,65e87b69cb7a1ff3d9a824e0,65e87b69cb7a1ff3d9a824e2,65e87b69cb7a1ff3d9a824ea,,,,,,,,,,20,20,0.1,,,,,,,,,,0,,,,,65e87b9475f168374cbc08f1,,,,
667f10ec6441788f4d74e862,Instagram (Roxo),Farben,#8938c9,Laca,65e87b69cb7a1ff3d9a824ea,65e87b69cb7a1ff3d9a824cc,65e87b69cb7a1ff3d9a824e2,,,,,,,,,,20,8,12.4,,,,,,,,,,0,,,,,,,,,
667f122e6441788f4d74eb87,Instagram (Rosa),Farben,#e232ba,Laca,65e87b69cb7a1ff3d9a824e2,65e87b69cb7a1ff3d9a824ea,65e87b69cb7a1ff3d9a824cc,,,,,,,,,,23,22.2,0.1,,,,,,,,,,0,,,,,,,,,
667f149b6441788f4d74f58f,Instagram (Laranja),Farben,#ef6610,Laca,65e87b69cb7a1ff3d9a824d2,65e87b69cb7a1ff3d9a824d6,65e87b69cb7a1ff3d9a824ea,,,,,,,,,,9.5,8,3.8,,,,,,,,,,0,,,,,,,,,
