idx	uniCode	nome	categoriaAtual	marca	qtd	ppeType
47		Chave Catraca Media	Ferramenta/TOOL	Gedore	1	
48		Espatula Celuloide	(sem)	Lazzuril	0	
49	UC269	Vermelho Intenso	Pigmento/REGULAR	Farben	4.123999999999998	
50	Preta- s/pó	Caixa Luva Nitrílica G	Epi/PPE	Bompack	3	GLOVES
51		Adesivo Preto Jateado	Material/REGULAR	Altak	20	
52	UC580	Solução Ajuste Metalico	Pigmento/REGULAR	Farben	16.304999999999986	
53	271	Trava Rosca	Ferramenta/TOOL	Loctite	1	
54	RE40-04	Regulador de Pressão	(sem)	Vortex	36	
55	651 #010	Adesivo Vinil White	Material/REGULAR	Oracal	12	
56		Garra Jacaré 600a	Ferramenta/TOOL	Genérico	2	
57	AC177	Azul	Pigmento/REGULAR	Farben	4.384799999999994	
58		Lixa Hookit P320	Abrasivos/REGULAR	3M	500	
59	Branca c/pó	Caixa Luva Látex-M	Epi/PPE	Bompack	1	GLOVES
60	19x4,2mm	Parafuso philips Brocante Flangeado	Material/REGULAR	Genérico	208	
61	UC609	Perolizado Vermelho Graudo	Pigmento/REGULAR	Farben	15.874300000000002	
62	GWS-9	Esmerilhadeira	Ferramenta/TOOL	Bosch	1	
63		Creme Desengraxante	Consumível/REGULAR	Mavaro	1	
64	UC268	Vermelho Scarlat Transparente	Pigmento/REGULAR	Farben	4.994	
65	Direita 	Faixa Refletiva 3M .	Material/REGULAR	3M	40	
66		Combinada 16	Ferramenta/TOOL	Gedore	0	
67		Soquete Sextavado 8	(sem)	Genérico	1	
68		Bermuda - 48	Epi/PPE	Gourmet	5	SHORT
69	702	Rebite Rosca Sextavado 630	(sem)	Genérico	200	
70		Parafuso Allen M06 X 0,40	(sem)	Genérico	100	
71	513.030	Prime PU P/plas 1k (3,6L)	Pigmento/REGULAR	Farben	10	
72		Combinada Catraca 12	Ferramenta/TOOL	Gedore	0	
73		Botina Reposição - 39	Epi/PPE	Kadesh	2	BOOTS
74		Botina Reposição - 41	Epi/PPE	Kadesh	3	BOOTS
75		Botina Reposição - 35	Epi/PPE	Kadesh	0	BOOTS
76	536.8540	 Acrilico Preto Cadillac	Base/REGULAR	Farben	22	
77		Alicate Pressão	Ferramenta/TOOL	Gedore	2	
78		Chave Biela L12	Ferramenta/TOOL	Gedore	0	
79		Soquete Sextavado 9	(sem)	Genérico	1	
80	UC273	Amarelo Limpo	Pigmento/REGULAR	Farben	7.7737	
81	A4	Pacote Papel Sulfite	(sem)	Report	0	
82	1/2	Extensão P/ Soquete Pequeno	Ferramenta/TOOL	Gedore	1	
83	33-9	Rebite de Repuxo 630	(sem)	Genérico	200	
84		Bermuda - 44	Epi/PPE	Gourmet	7	SHORT
85		Parafuso Sextavado Inox 5/16x1	(sem)	Genérico	100	
86	P/	Banqueta Dobravel	(sem)	Vonder	0	
87		Parafuso Sextavado Inox 5/16 X 7/8	(sem)	Genérico	100	
88		Chave Biela L16	Ferramenta/TOOL	Gedore	1	
89	3402.04	Flexibilizante	(sem)	PPG	0	
90	t20	Soquete Torx T-20	Ferramenta/TOOL	Genérico	1	
91	021	Adesivo Vinil Yellow	Material/REGULAR	Oracal	2	
92	AC176	Vermelho Oxido	Pigmento/REGULAR	Farben	3.838500000000001	
93	D8115.11	Verniz Fosco	Verniz/REGULAR	PPG	11	
94		Primer Multfill	(sem)	PPG	2	
95		Lixa Folha D'agua P400	Abrasivos/REGULAR	3M	800	
96	400gr	Refil de Gás	(sem)	Eos	0	
97	ANC50	Base Branca	Base/REGULAR	Farben	39	
98		Chave Biela L14	Ferramenta/TOOL	Gedore	1	
99	ANC55	Clear Laca	Base/REGULAR	Farben	72.76920000000003	
100		Tinta para impressora	Escritório/REGULAR	Epson	4	
101	00065	Endurecedor	Endurecedor/REGULAR	Lazzuril	0	
102	UC297	Azul Esverdeado	Pigmento/REGULAR	Farben	4	
103	APA85	Clear Acrilico	Base/REGULAR	Farben	50.8333	
104		Chave Biela L13	Ferramenta/TOOL	Gedore	1	
105		Galocha - 39	Epi/PPE	Kadesh	3	RAIN_BOOTS
106	GA5010	Esmerilhadeira	Ferramenta/TOOL	Makita	1	
107		Lixa Folha 320	Abrasivos/REGULAR	3M	1800	
108	43611	Combinada Speedy 15	Ferramenta/TOOL	Sata	1	
109	DMB9300	Faixa Refletiva Lateral Direita	(sem)	Dm	900	
110		Chave Canhão 11	Ferramenta/TOOL	Gedore	0	
111	UC284	Amarelo Oxido	Pigmento/REGULAR	Farben	6.053799999999999	
112		Chave Canhão 10	Ferramenta/TOOL	Gedore	0	
113		Mangueira Irrigação	(sem)	Genérico	100	
114	UC612	Xirallic Solaris Red	Pigmento/REGULAR	Farben	2	
115		Esquadro Carpinteiro	Ferramenta/TOOL	Starret	1	
116		Balde P/ Pçs de Varão	(sem)	Gerplast	13	
117	UC295	Vermelho Extra Limpo	Pigmento/REGULAR	Farben	14	
118		Chave Biela L9	Ferramenta/TOOL	Gedore	1	
119		Lamina Norma	(sem)	Genérico	1319	
120	4478	Resina Laminação	Endurecedor/REGULAR	Mercure Tintas	5	
121		Soquete Sextavado 19	Ferramenta/TOOL	Gedore	1	
122	UC101	Branco Especial	Pigmento/REGULAR	Farben	0	
123		Rolo Fibra Sintética	(sem)	Riberfibras	1	
124		Soquete Hexagonal 5	Ferramenta/TOOL	Gedore	3	
125	AC121	Violeta	Pigmento/REGULAR	Farben	3.7863000000000007	
126	UC675	Aluminio Super Graúdo	Pigmento/REGULAR	Farben	6.9674	
127	4800.010	Amarelo Limão Vinilico Brilhante	Tinta/REGULAR	Saturno	12	
128	4800.012	Amarelo Médio Vinilico Brilhante	Tinta/REGULAR	Saturno	7	
129		Solvente Vinilico	Diluente/REGULAR	Petrus	2	
130		Calça	Epi/PPE	Gourmet	16	PANTS
131	UC112	Amarelo Ouro Especial	Pigmento/REGULAR	Farben	0	
132	Esquerdo	Faixa Refletiva 3M	Material/REGULAR	3M	20	
133		Chave Biela L19	Ferramenta/TOOL	Gedore	0	
134		Conjunto Chave Allen	Ferramenta/TOOL	Gedore	0	
135		Rebite de Repuxo 619	(sem)	Genérico	192	
136		Lixa Hookit P400	Abrasivos/REGULAR	3M	150	
137	4800.235	Azul Anil Vinilico Brilhante	Tinta/REGULAR	Saturno	1	
138	4800.237	Azul Médio Vinilico Brilhante	Tinta/REGULAR	Saturno	6	
139		Funil Reto	(sem)	Kala	2	
140		Chave Biela L11	Ferramenta/TOOL	Gedore	1	
141		Condulete Pvc Preto	(sem)	Hidrossol	20	
142		Abraçadeira Radial Inox	Peça/REGULAR	Genérico	222	
143		Lampada Led	(sem)	Taschibra	0	
144		Chave Biela L15	Ferramenta/TOOL	Gedore	1	
145		Chave Biela L17	Ferramenta/TOOL	Gedore	1	
146	UC627	Perolizado Azul Esverdeado	Pigmento/REGULAR	Farben	11	
147	USB Tipo-C3.0	Cabo Flexivel tipo-C	Elétrico/REGULAR	Genérico	12	
148		Plugue Macho	(sem)	Genérico	3	
149	UC645	Aluminio Graudo	Pigmento/REGULAR	Farben	16.8497	
150	UC115	Laranja Especial	Pigmento/REGULAR	Farben	0	
151	LL117	Laranja	Pigmento/REGULAR	Lazzuril	12	
152	LL130	Branco	Pigmento/REGULAR	Lazzuril	4	
153	LL143	Vermelho Oxido	Pigmento/REGULAR	Lazzuril	3	
154		Garra Jacaré 400a	Ferramenta/TOOL	Rotony	0	
155		Pacote Estopa	Consumível/REGULAR	Brasil Sul	22	
156		Disco Hookit 800	Ferramenta/TOOL	Norton	0	
157	GR2000	Disco Finishing Foam	Ferramenta/TOOL	Norton	0	
158		Alicate de Corte	Ferramenta/TOOL	Gedore	3	
159		Palha de Aço	(sem)	Vega	91	
160		Carvão Em Pó	Material/REGULAR	Genérico	0	
161	LL128	Vermelho	Pigmento/REGULAR	Lazzuril	0	
162		Lixa Folha 80	Abrasivos/REGULAR	3M	1550	
163	LL112	Preto	Pigmento/REGULAR	Lazzuril	0	
164	S/Furo	Disco Trizact Espuma 3000	Ferramenta/TOOL	Nk	0	
165		Disco Trizact 1500	Ferramenta/TOOL	3M	0	
166		Combinada 14	Ferramenta/TOOL	Gedore	1	
167		Chave Biela L18	Ferramenta/TOOL	Gedore	1	
168		Combinada Catraca 14	Ferramenta/TOOL	Gedore	1	
169	200x4,6mm	Abraçadeira Nylon Preta	Material/REGULAR	Genérico	7	
170	UC257	Azul Limpo Esverdeado	Pigmento/REGULAR	Farben	0	
171		Lixa Hookit P500	Abrasivos/REGULAR	3M	400	
172		Kit de Rodas	Ferramenta/TOOL	Rodline	1	
173		Combinada 8	Ferramenta/TOOL	Gedore	1	
174		Botina - 44	Epi/PPE	Ecosafety	3	BOOTS
175	RSGU1	Abraçadeira Emborrachada	Peça/REGULAR	Norma	12	
176	106m	Adesivo 	Material/REGULAR	Hcr	3	
177	Branca c/pó	Caixa Luva Látex-G	Epi/PPE	Bompack	1	GLOVES
178	H38	Endurecedor P/ Spectra	Endurecedor/REGULAR	Lazzuril	52	
179		Lixa Hookit P800	Abrasivos/REGULAR	Maverick	150	
180	102x121mm - 14mm	Abraçadeira Inox Fita	Peça/REGULAR	Genérico	10	
181	DC18	Carregador de Bateria	Ferramenta/TOOL	Makita	1	
182	UC262	Amarelo Alaranjado	Pigmento/REGULAR	Farben	0	
183	43610	Combinada Speedy 14	Ferramenta/TOOL	Sata	1	
184		Suporte Reforçado	(sem)	Genérico	1	
185	UC264	Laranja Limpo	Pigmento/REGULAR	Farben	0	
186	UNC 5/16"	Macho	Ferramenta/TOOL	Rocast	1	
187		Fita Led	(sem)	Genérico	0	
188		Soquete Sextavado 32	Ferramenta/TOOL	Gedore	1	
189		Soquete Sextavado 11 Longo	(sem)	Genérico	1	
190		Lamina Plotter	(sem)	Rolland	20	
191		Bobina Filme Stretch	Consumível/REGULAR	Genérico	2	
192	SP-40	Engate Rapido Fêmea	(sem)	Japonês	33	
193	25mts	Bobina Papel Ondulado	Consumível/REGULAR	Genérico	0	
194	57x76mm - 13mm	Abraçadeira Inox Fita	Peça/REGULAR	Genérico	14	
195		Combinada 18	Ferramenta/TOOL	Gedore	0	
196		Combinada 6	Ferramenta/TOOL	Gedore	0	
197		Combinada 21	Ferramenta/TOOL	Gedore	0	
198		Combinada 20	Ferramenta/TOOL	Gedore	0	
199		Combinada 7	Ferramenta/TOOL	Gedore	0	
200	573.950	Endurecedor Pu	Endurecedor/REGULAR	Farben	193	
201		Combinada Catraca 8	Ferramenta/TOOL	Gedore	0	
202	1/2	Soquete Sextavado 17	Ferramenta/TOOL	Gedore	2	
203	AC178	Verde	Pigmento/REGULAR	Farben	3.5036	
204		Combinada Catraca 9	Ferramenta/TOOL	Gedore	0	
205	57x76mm - 9mm	Abraçadeira Inox Fita	Peça/REGULAR	Genérico	10	
206	UC265	Laranja Orgânico	Pigmento/REGULAR	Farben	0	
207	128gb	Cartão de Memória	Escritório/REGULAR	Sandisk	0	
208	NH2	Serra Marmore	Ferramenta/TOOL	Makita	1	
209	UC289	Vermelho Pleno	Pigmento/REGULAR	Farben	0	
210		Combinada 22	Ferramenta/TOOL	Gedore	1	
211		Galocha - 45	Epi/PPE	Kadesh	1	RAIN_BOOTS
212		Sacola Plástica	(sem)	Genérico	1	
213		Calça - 38	Epi/PPE	Via Grafit	2	PANTS
214	1/2	Soquete Sextavado 15	Ferramenta/TOOL	Gedore	2	
215		Combinada 32	Ferramenta/TOOL	Sata	1	
216		Bermuda - 38	Epi/PPE	Via Grafit	5	PANTS
217		Bermuda - 40	Epi/PPE	Via Grafit	3	PANTS
218		Kit Bateria 4,0ah	Ferramenta/TOOL	Bosch	1	
219		Pigmento Fluorescente Amarelo	Pigmento/REGULAR	Saturn	20	
220	C/50	Pacote Pincel de Retoque	Consumível/REGULAR	Genérico	2	
221		Espaguete Termoretratil	(sem)	Genérico	0	
222	18v/3.0ah	Baterias 3,0ah	Ferramenta/TOOL	Makita	5	
223	32x44mm - 13mm	Abraçadeira Inox Fita	Peça/REGULAR	Genérico	12	
224	UC604	Xirallic Gold	Pigmento/REGULAR	Farben	0	
225		Pistola Pintura	(sem)	Wwsoldas	2	
226		Combinada 15	Ferramenta/TOOL	Gedore	1	
227		Calça - 36	Epi/PPE	Via Grafit	12	PANTS
228		Lixa Hookit P40	Abrasivos/REGULAR	3M	350	
229	9cm	Rolo anti respingo	(sem)	Roma	32	
230		Trava Porta Macho	(sem)	Genérico	0	
231		Camisa - P	Epi/PPE	Via Grafit	33	SHIRT
232		Pigmento Flourescente Verde	Pigmento/REGULAR	Saturn	2	
233	509.080	Solução Flexibilizante	Diluente/REGULAR	Farben	10	
234		Arame Galvanizado	Material/REGULAR	Genérico	2	
235	Atmega328	Arduino Nano	Elétrico/REGULAR	Genérico	3	
236		Trava Porta Fêmea	(sem)	Genérico	0	
237		Broca P/ Martelet	Ferramenta/TOOL	Genérico	2	
238	43609	Combinada Speedy 13	Ferramenta/TOOL	Sata	1	
239	455KGFM PRO-198	Chave de Impacto	Ferramenta/TOOL	Pdr	0	
240		Bermuda - 44	Epi/PPE	Via Grafit	1	PANTS
241		Bermuda - 46	Epi/PPE	Via Grafit	4	PANTS
242		Bermuda - 48	Epi/PPE	Via Grafit	0	PANTS
243	UC607	Perolizado Bronze	Pigmento/REGULAR	Farben	0	
244		Galocha - 46 	Epi/PPE	Kadesh	0	RAIN_BOOTS
245		Lixa Folha 600	Abrasivos/REGULAR	3M	350	
246	CD88171913	Elemento Filtro de Ar	Peça/REGULAR	Genérico	1	
247	UC613	Xirallic Copper	Pigmento/REGULAR	Farben	0	
248		Arame Recozido N°14	Material/REGULAR	Gerdau	1	
249	CD39329602	Filtro de Oleo	(sem)	Genérico	1	
250		Bermuda - 36	Epi/PPE	Gourmet	4	SHORT
251	NA8	Morsa	Ferramenta/TOOL	Nocram Marcon	0	
252	duo/	Trena Dewalt Emb	Ferramenta/TOOL	Genérico	0	
253		Chapa Compensado Fenólico	Material/REGULAR	Genérico	0	
254	573.009	Endurecedor Pu	Endurecedor/REGULAR	Farben	11	
255		Bermuda - 42	Epi/PPE	Gourmet	7	PANTS
256	CD24121212	Elemento Separador Ar/oleo	Peça/REGULAR	Genérico	1	
257		Trena 8m	(sem)	Lufkin	6	
258		Conjunto Mancal Extremidade	(sem)	Genérico	0	
259	4 Furos	Conjunto Mancal Intermediário	(sem)	Genérico	0	
260	PR539	Fita Crepe Uso Geral	(sem)	Farben	0	
261	2 Furos	Conjunto Mancal Intermediário	(sem)	Genérico	0	
262		Massa Poliester	(sem)	Farben	0	
263		Botina Reposição - 44	Epi/PPE	Kadesh	2	BOOTS
264	PJK1351	Plotter de Recorte	Ferramenta/TOOL	Velve	4	
265	UC291	Vermelho Limpo	Pigmento/REGULAR	Farben	7.846799999999998	
266	32x44 - 9mm	Abraçadeira Inox Fita	Peça/REGULAR	Genérico	9	
267	PRO-406	Hookit	(sem)	Pdr	1	
268	18v/5.0ah	Bateria 5.0ah	Ferramenta/TOOL	Bosch	4	
269		Soquete Torx T-45	Consumível/REGULAR	King Tony	24	
270	045	Wash Primer	(sem)	Lazzuril	9	
271	UC614	Xirallic Branco Cristal	Pigmento/REGULAR	Farben	0	
272	9x13mm - 9mm	Abraçadeira Inox Fita	Peça/REGULAR	Genérico	18	
273	m14	Adapitador Boina Polimento	Ferramenta/TOOL	Makita	1	
274		Mandril P/ Martelet	Ferramenta/TOOL	Genérico	0	
275		Arame Recozido N°18	Material/REGULAR	Gerdau	2	
276	UC628	Perolizado Verde	Pigmento/REGULAR	Farben	17	
277		Intercap	Consumível/REGULAR	Genérico	4	
278		Bandeija P/pintura	(sem)	Genérico	0	
279	AC186	Vinho Oxido	Pigmento/REGULAR	Farben	7	
280		Combinada 17	Ferramenta/TOOL	Gedore	1	
281	30/degraus	Escada de Aluminio	Ferramenta/TOOL	Outras	1	
282		Bermuda - 38	Epi/PPE	Gourmet	2	SHORT
283		Bermuda - 40	Epi/PPE	Gourmet	9	SHORT
284	D8117.11	Verniz Semi Brilho	Verniz/REGULAR	PPG	14	
285	509.080	Flexibilizante	(sem)	Farben	10	
286	423	Fita Crepe Uso Geral	(sem)	Adere	1645	
287		Bermuda - 46	Epi/PPE	Gourmet	4	SHORT
288		Botina - 45	Epi/PPE	Ecosafety	2	BOOTS
289		Alicate Universal	Ferramenta/TOOL	Gedore	2	
290		Luva Redução	(sem)	Gedore	19	
291		Conexão Te Galv	(sem)	Genérico	6	
292		Camisa - EXG	Epi/PPE	Via Grafit	10	SHIRT
293		Conexão Cotov 90°galv	(sem)	Genérico	8	
294		Galocha - 44	Epi/PPE	Kadesh	4	RAIN_BOOTS
295		Soquete Hexagonal 6	Ferramenta/TOOL	Gedore	4	
296	SGT-1013	Aplicador Calafetador Pneumático	Ferramenta/TOOL	Sigma	2	
297		Combinada Catraca 16	Ferramenta/TOOL	Gedore	1	
298		Combinada Articulada 11	Ferramenta/TOOL	Belzer	1	
299		Combinada Articulada 10	Ferramenta/TOOL	Belzer	1	
300		Bit T-27	Consumível/REGULAR	King Tony	52	
301		Chave Philips Média	Ferramenta/TOOL	Genérico	1	
302	MM-1001	Motoesmiril 1,0cv/220v	Ferramenta/TOOL	Motomil	1	
303		Macacão de Segurança	(sem)	Vicsa	7	
304		Calça - 46	Epi/PPE	Via Grafit	1	PANTS
305	UC292	Laranja Imp	Pigmento/REGULAR	Farben	2	
306	5T/	Cinta Catraca P/marração	Ferramenta/TOOL	Robustec	1	
307	UC253	Amarelo Limão Imp	Pigmento/REGULAR	Farben	2	
308	UC615	Perolizado Branco Graúdo	Pigmento/REGULAR	Farben	0	
309		Combinada Articulada 12	Ferramenta/TOOL	Belzer	1	
310		Galocha - 40	Epi/PPE	Kadesh	5	BOOTS
311	UC252	Amarelo Ouro Imp	Pigmento/REGULAR	Farben	2	
312		Saco de lixo 60 lts	Cozinha/REGULAR	Genérico	4	
313		Soquete Sextavado 7 Longo	Ferramenta/TOOL	Genérico	1	
314	UC623	Xirallic Stellar Green	Pigmento/REGULAR	Farben	0	
315		Suporte de Mangueira	(sem)	Tramontina	5	
316	SKU:SNUGG	Manguito - M	Epi/PPE	Pro Tour	8	SLEEVES
317	1Kg	Estopa de Pano	Consumível/REGULAR		350	
318	UC652	Alumínio Extra Fino Brilhante	Pigmento/REGULAR	Farben	0	
319	543.005	Verniz Pu Acrilico Fosco	Verniz/REGULAR	Farben	12	
320		Luva de Vaqueta	Epi/PPE	Nacionalplus	1	
321		Lixa Folha 220	Abrasivos/REGULAR	3M	1100	
322		Combinada Articulada 15	Ferramenta/TOOL	Belzer	1	
323		Soquete Sextavado 8 Longo	(sem)	Genérico	1	
324		Soquete Sextavado 9 Longo	(sem)	Genérico	1	
325	5L	Pulverizador de Pressão	Ferramenta/TOOL	Genérico	1	
326	18v/6.0ah	Bateria 6.0ah	Ferramenta/TOOL	Makita	3	
327	490	Diluente Alta Temperatura	Diluente/REGULAR	Lazzuril	7	
328		Botina - 43	Epi/PPE	Ecosafety	5	BOOTS
329	031	Par Protetor Auric. Auditivo	Epi/PPE	Valeplast	22	OTHERS
330		Camiseta	Epi/PPE	Gourmet	13	SHIRT
331		Camiseta	Epi/PPE	Gourmet	14	SHIRT
332	UC650	Alumínio Fino	Pigmento/REGULAR	Farben	0	
333	UC611	Xirallic Radiant Red	Pigmento/REGULAR	Farben	0	
334	GR80 4- x	Disco Flap	Abrasivos/REGULAR	Tyrolit	0	
335		Boné Cinza e Verde	Cortesia/REGULAR	Genérico	17	
336	UC653	Alumínio Fino Limpo	Pigmento/REGULAR	Farben	0	
337		Combinada Catraca 17	Ferramenta/TOOL	Gedore	1	
338		Chave Canhão 5	Ferramenta/TOOL	Gedore	1	
339	3/16 in	Lixadeira Orbital	Ferramenta/TOOL	3M	3	
340	5000	Retentor Para Máscara	Epi/PPE	3M	20	OTHERS
341	UC276	Marrom Transparente	Pigmento/REGULAR	Farben	6.2749999999999995	
342	DR6-006	Base Hookit	Peça/REGULAR	Ldr2	41	
343	t27	Soquete Torx T-27	Ferramenta/TOOL	Genérico	2	
344	D854.11	Seladora Poliuretano	(sem)	PPG	8	
345	513.000	Primer Pu 3000	(sem)	Farben	1	
346	UC606	Perolizado Amarelo	Pigmento/REGULAR	Farben	12.996500000000003	
347		Camiseta	Epi/PPE	Gourmet	45	SHIRT
348	UC680	Aluminio Brilhante	Pigmento/REGULAR	Farben	32.36619999999999	
349		Bermuda - 42	Epi/PPE	Via Grafit	3	PANTS
350	a-36	Suporte para Pistola	Material/REGULAR		30	
351	UC694	Alumínio Orange	Pigmento/REGULAR	Farben	0	
352	573.950	Endurecedor Pu Alif	Endurecedor/REGULAR	Farben	2	
353		Bota Pvc - 42	(sem)	Genérico	3	BOOTS
354		Combinada 10	Ferramenta/TOOL	Gedore	1	
355	508.200	Massa Poliester	(sem)	Farben	0	
356		Boné Cinza C/ Tela	Cortesia/REGULAR	Genérico	16	
357		Botina - 35	Epi/PPE	Ecosafety	2	BOOTS
358	7/32	Soquete allen 7/32	Ferramenta/TOOL	Gedore	6	
359	UC288	Verde	Pigmento/REGULAR	Farben	7.8997000000000055	
360		Combinada 11	Ferramenta/TOOL	Gedore	1	
361		Refletor Led	Ferramenta/TOOL	Genérico	2	
362	GR40 4- X	Disco Flap Tyrolit	Abrasivos/REGULAR	Tyrolit	18	
363		Combinada 13	Ferramenta/TOOL	Gedore	1	
364		Calça	Epi/PPE	Gourmet	4	PANTS
365	UC695	Alumínio Cobre	Pigmento/REGULAR	Farben	0	
366		Calça	Epi/PPE	Gourmet	37	PANTS
367	6003	Par de Cartucho Para Máscara	Epi/PPE	3M	8	OTHERS
368	513.030	Primer Pu P/plas 1k (900ml)	Pigmento/REGULAR	Farben	0	
369	557.000-198	Thinner 7000	Diluente/REGULAR	Farben	2	
370		Lixa Folha 150	Abrasivos/REGULAR	3M	1500	
371		Bit T-45	Consumível/REGULAR	King Tony	195	
372	43608	Combinada Speedy 12	Ferramenta/TOOL	Sata	1	
373		Chave Canhão 4	Ferramenta/TOOL	Gedore	1	
