idx	uniCode	nome	categoriaAtual	marca	qtd	ppeType
465		Cavalete Para Pintura	(sem)	Genérico	0	
466	END010	Endurecedor Medio PPG	Endurecedor/REGULAR	PPG	2	
467	D803.11	Endurecedor Rapido PPG	Endurecedor/REGULAR	PPG	2	
468	113.042	Preto Chassis	Tinta/REGULAR	Farben	12	
469		Soquete Sextavado 18	(sem)	Genérico	1	
470	UC655	Aluminio Médio	Pigmento/REGULAR	Farben	5.8428	
471	302	Pincel Médio	(sem)	Roma	2	
472	AC171	Branco	Pigmento/REGULAR	Farben	3.091200000000013	
473		Soquete Sextavado 7	(sem)	Genérico	1	
474	328	Máscara	(sem)	Adere	207	
475		Massa Plastica	(sem)	2001	0	
476	18v/2.0ah	Bateria 2.0ah	Ferramenta/TOOL	Bosch	3	
477		Boné Cinza	Cortesia/REGULAR	Rhino Size	13	
478	793	Super Bonder	Ferramenta/TOOL	Tekbond	8	
479		Macho	Ferramenta/TOOL	Genérico	5	
480	051	Endurecedor Wash Primer	Endurecedor/REGULAR	Lazzuril	62	
481	70GR	Papel Kraft	(sem)	Genérico	286	
482		Rolo de Fita Para Arquear	(sem)	Genérico	6	
483	P85022	Tomada 20a Vermelha	(sem)	Alumbra Inova	20	
484		Tampa P/ Condulete 2 Modulos	(sem)	Hidrossol	20	
485		Esmalte Sintetico Branco	Tinta/REGULAR	Galle	11	
486		Espatula de Aço	(sem)	Paceta	3	
487	081	Seladora Plastico	(sem)	Lazzuril	1	
488	Tek Lub	Desengripante	Ferramenta/TOOL	Tekbond	0	
489	513.030	Primer Pu Cinza	(sem)	Farben	16	
490	4800.001	Branco Vinilico Brilhante	Tinta/REGULAR	Saturno	1	
491	480.9999	Preto Vinilico Brilhante	Tinta/REGULAR	Saturno	14	
492		Calça	Epi/PPE	Gourmet	15	PANTS
493		Soquete Sextavado 6	(sem)	Genérico	1	
494		Selo Metalico Para Arquear	(sem)	Genérico	3	
495	Preta- s/pó	Caixa Luva Nitrílica P	Epi/PPE	Talge	3	GLOVES
496	SGT0738	Rebitadeira de Rosca Pneumatica	Ferramenta/TOOL	Sigma	1	
497	UC685	Aluminio Medio Limpo	Pigmento/REGULAR	Farben	13.2458	
498	UC274	Vermelho Azulado	Pigmento/REGULAR	Farben	6.843300000000001	
499	UC298	Azul Escuro	Pigmento/REGULAR	Farben	8.2073	
500	M10 15x10mm	Arruela zincada 10mm	Material/REGULAR		100	
501		Pincel	(sem)	Atlas	18	
502	PE	Bisnaga Plastico	(sem)	Nalgon	0	
503	PE	Bisnaga Plastica	(sem)	Nalgon	0	
504		Pá de Lixo Inox	(sem)	Genérico	0	
505	GR x	Disco Flap Vila	(sem)	Vila	0	
506	PR503	Pistola Pintura K3	(sem)	Pdr	0	
507		Aerógrafo	Ferramenta/TOOL	Neoeco	0	
508		Óculos de Proteção	Epi/PPE	Leopardo	3	OTHERS
509		Balde Plástico	(sem)	Genérico	4	
510		Camisa - G	Epi/PPE	Via Grafit	0	SHIRT
511	UC297	Azul Esverdeado	Pigmento/REGULAR	Farben	2.2270000000000003	
512	43605	Combinada Speedy 9	Ferramenta/TOOL	Sata	1	
513	1/2	Soquete Sextavado 11	Ferramenta/TOOL	Gedore	2	
514	43604	Combinada Speedy 8	Ferramenta/TOOL	Sata	1	
515	651 #032	Adesivo Vinil Light Red	Material/REGULAR	Oracal	2	
516	NK-65	Disco Pluma P2000 (polimento)	Ferramenta/TOOL	Genérico	2	
517	AC175	Laranja	Pigmento/REGULAR	Farben	6.472199999999997	
518		Bobina Papel Tkv	(sem)	Madruga	0	
519		Calça - 44	Epi/PPE	Via Grafit	0	PANTS
520	SKU:SNUGG	Manguito - G	Epi/PPE	Pro Tour	9	SLEEVES
521		Boné Verde C/ Tela	Cortesia/REGULAR	Genérico	11	
522	PU40	Adesivo Selante Cinza	(sem)	Autofix	0	
523	PU40	Adesivo Selante Preto	(sem)	Autofix	0	
524	200x2,5mm	Abraçadeira Nylon Preta	Material/REGULAR	Genérico	7	
525		Chave Canhão 7	Ferramenta/TOOL	Gedore	0	
526		Combinada 9	Ferramenta/TOOL	Gedore	1	
527		Fita Filete Pvc	(sem)	Genérico	29	
528		Nivel de Mão	Ferramenta/TOOL	Fertak	1	
529		Combinada 19	Ferramenta/TOOL	Genérico	1	
530	dg-10	Bico de Ar	(sem)	Luft	0	
531		Chave Canhão 6	Ferramenta/TOOL	Gedore	1	
532	4.1/	Disco de Corte	(sem)	Norton	0	
533		Boné Verde	Cortesia/REGULAR	Genérico	14	
534		Chave P/ Mandril	Ferramenta/TOOL	Genérico	1	
535	150	Tripé P/ Nivel Á Laser	Ferramenta/TOOL	Genérico	1	
536	DW088	Nivel Á Laser	Ferramenta/TOOL	Genérico	1	
537	290.010	Removedor	Diluente/REGULAR	Farben	90	
538	XXG	Macacão de Segurança	(sem)	Vicsa	5	
539	P30 Branco	Primer Spectra 2k	(sem)	Lazzuril	21	
540		Botina - 42	Epi/PPE	Ecosafety	9	BOOTS
541	PR .7m	Pistola de Pintura	(sem)	Pdr	1	
542	C/100	Pacote Saco de Lixo 200 lts	(sem)	Genérico	7	
543	43615	Combinada Speedy 19	Ferramenta/TOOL	Sata	1	
544		Rompedor/talhadeira	Ferramenta/TOOL	Genérico	1	
545		Lanterna Led	(sem)	Genérico	1	
546	t30	Soquete Torx T-30	Ferramenta/TOOL	Genérico	5	
547	AAA 	Pilha	(sem)	Elgin	40	
548		Kit Soquete Adaptador Macho	(sem)	Genérico	1	
549		Rebite de Repuxo 416	(sem)	Genérico	400	
550		Rebite de Repuxo 525	(sem)	Genérico	770	
551	M10	Rebite Rosca Lisa	(sem)	Genérico	200	
552		Rolo Etiqueta	(sem)	Niimbot	1	
553	GDS -400	Chave de Impacto	Ferramenta/TOOL	Bosch	3	
554	DPH486RFJ	Parafusadeira Bat 18v-3,0ah	Ferramenta/TOOL	Genérico	1	
555		Papel Toalha Interfolha Branco	Cozinha/REGULAR	Pop	3	
556	Ondulado	Papel Corrugado (ondulado)	Consumível/REGULAR		1	
557	SKU-431E	Manguito - GG	Epi/PPE	Pro Tour	3	SLEEVES
558		Ferro de Solda	Ferramenta/TOOL	Exbom	1	
559		Disco Desbaste	(sem)	Verg	5	
560		Chave Inglesa	Ferramenta/TOOL	Gedore	1	
561	430	Conjunto Trava Porta Grande	(sem)	Genérico	7	
562	CD24286676	Filtro Compressor	(sem)	Outra	2	
563	9042	Primer Pu Preto Rodo	Base/REGULAR	Farben	8	
564	UC601	Perolizado Branco Fino	Pigmento/REGULAR	Farben	6.442599999999998	
565		Micro Retifica Worker 190 Peças	Ferramenta/TOOL	Worker	1	
566		Lixa Folha D'agua P600	Abrasivos/REGULAR	3M	600	
567	D25133-B2	Martelet	Ferramenta/TOOL	Genérico	1	
568	16/degraus	Escada de Aluminio	(sem)	Genérico	1	
569		Lanterna de Cabeça	Ferramenta/TOOL	Headlamp	9	
570	AC185	Laranja Organico	Pigmento/REGULAR	Farben	2	
571		Soquete Sextavado 14 Longo	(sem)	Genérico	1	
572		Copo 50 ML c/100 unid.	Cozinha/REGULAR	Kerocopo	51	
573		Botina Reposição - 45	Epi/PPE	Kadesh	0	BOOTS
574	UC286	Vermelho Oxido	Pigmento/REGULAR	Farben	10.277799999999997	
575		Macho 3/8	Ferramenta/TOOL	Dormer	4	
576	MBPN25 4355	Valvula Esferica Latão 3/4	(sem)	Genérico	2	
577	MBPN25 4353	Valvula Esferica Latão 1/2	(sem)	Genérico	8	
578	Esquerda	Faixa Refletiva	Consumível/REGULAR	Avery Denisson	100	
579	UC278	Amarelo Esverdeado Transparente	Pigmento/REGULAR	Farben	16	
580	DTW700Z	Chave de Impacto Bat/18v	Ferramenta/TOOL	Genérico	1	
581	DTD-157Z	Parafusadeira Impc 18v	Ferramenta/TOOL	Genérico	1	
582		Disco Corte Super	Abrasivos/REGULAR	Norton	0	
583		Chave Biela L8	Ferramenta/TOOL	Gedore	1	
584		Niple Duplo Galv	(sem)	Outra	30	
585		Tampa Para Bisnaga	(sem)	Nalgon	33	
586		Combinada Articulada 8	Ferramenta/TOOL	Belzer	0	
587	23cm	Rolo Anti Respingo	(sem)	Roma	36	
588	543.950	Verniz Pu Acrilico	Verniz/REGULAR	Farben	50	
589	UC281	Branco	Pigmento/REGULAR	Farben	6.287000000000005	
590		Botina - 39	Epi/PPE	Ecosafety	2	BOOTS
591	APE75	Clear Poliester	Base/REGULAR	Farben	47.93919999999999	
592		Rebite de Repuxo 640	(sem)	Genérico	400	
593	V POS/RETRO	Lanterna Led Âmbar	(sem)	Genérico	0	
594		Lanterna Side Marker Led Âmbar	(sem)	Braslux	0	
