id|nossoNumero|barcode|digitableLine|to_char
79dbea03-b5ce-4b6b-8c25-f97cc26a12fb|600004733|74898157300005468101160000473307185818078108|74891160090047330718958180781088815730000546810|2026-09-28
5abd5799-35a6-4145-bf88-6762cfcb3c48|600003338|74893152400005379701160000333807185818078100|74891160090033380718858180781005315240000537970|2026-08-12
30b504c4-15c3-465a-b6fd-f6b43aeb975b|600003613|74894157200005468101160000361307185818078102|74891160090036130718458180781021415720000546810|2026-09-28
56829e15-fe90-4c98-86b1-021b34938635|600003451|74894156300005199921160000345107185818078102|74891160090034510718958180781021415630000519992|2026-10-15
e763fece-5052-437d-bf09-d32c6a027171|600003354|74892156400005379701160000335407185818078101|74891160090033540718558180781013215640000537970|2026-09-22
4b02bd2f-636f-4f06-8ec2-ff2455af3662|600003460|74895156300005199921160000346007185818078101|74891160090034600718058180781013515630000519992|2026-10-15
fd78f674-8fc1-4540-9bd3-b8b5f0921e6c|600003362|74897158400005379701160000336207185818078107|74891160090033620718858180781070715840000537970|2026-10-13
9645a865-63ca-4bb0-ab90-a0b5c61f9198|600004580|74899157000005440001160000458007185818078107|74891160090045800718458180781070915700000544000|2026-09-28
d94394bc-4a41-4f60-9ee7-a747e323b329|600003346|74898154400005379701160000334607185818078106|74891160090033460718158180781062815440000537970|2026-09-02
(9 rows)
